"";"protection.Intercept";"q1";"q2";"q3";"Focal"
"EF21";-0,0356049392486591;0,714229506463792;-1,64716574742638;1,41236723443274;"EF21"
"EF7";-0,0529231479415694;0,665274486671409;-1,50273837468989;1,38036219806638;"EF7"
"EM10";0,177768484055174;0,669794472994372;-1,09319633581552;1,73872594946571;"EM10"
"EM20";0,00439296508309559;0,723898762377901;-1,60790437219474;1,57216529078281;"EM20"
"EM30";-0,150376720294188;0,698890265674674;-1,7898314643792;1,23168138510443;"EM30"
"EM5";-0,228123479375706;0,711107897744186;-1,95947962894353;1,04216820552226;"EM5"
"EM9";0,0341687764115952;0,649035799869106;-1,32467091796539;1,43894508834547;"EM9"
"NF23";0,0238037791984586;0,71934272765189;-1,49988676629346;1,6127987042116;"NF23"
"NM15";0,115806163958785;0,717182928120405;-1,30921465605681;1,79252116964963;"NM15"
"NM16";0,281786535421717;0,725929540325243;-0,940811607225671;2,08460149483649;"NM16"
"NM17";-0,0978471087027339;0,684107987819419;-1,64955399901455;1,25757041759283;"NM17"
"SF12";-0,136711497253765;0,779485824825842;-1,97810185427558;1,34506564470379;"SF12"
"SF13";0,459754280900756;0,869412118969028;-0,767105593971104;2,76244926986435;"SF13"
"SF14";-0,171161149788877;0,747181558270229;-1,93051097175984;1,2400521849084;"SF14"
"SF2";-0,420765223795156;0,781412090884304;-2,35272656674792;0,779704713169494;"SF2"
"SF27";0,0357835534411536;0,646859012763237;-1,35582560530624;1,45211722294155;"SF27"
"SF29";-0,0745204432181988;0,802776741276512;-1,9641154756157;1,49535402902423;"SF29"
"SF3";0,260854697612684;0,755026562745028;-1,05731465751209;2,1082560362466;"SF3"
"SF6";-0,0209363966032952;0,640747952248963;-1,40358766906363;1,36209463430282;"SF6"
"SM1";0,206235203935776;0,680051121497497;-1,01930397655932;1,83409661104728;"SM1"
"SM19";0,0318253243839225;0,6729740348662;-1,34691364969497;1,5378103344391;"SM19"
"SM22";-0,574432511860645;0,808358819153723;-2,62506517620686;0,508400418903221;"SM22"
"SM24";-0,171594426122775;0,783559888164935;-2,08515485169233;1,31447580672086;"SM24"
"SM25";0,408587946010457;0,68952634662157;-0,650826596138337;2,0938592774643;"SM25"
"SM26";0,184437862242019;0,753228809424207;-1,20382945974183;1,99771543990173;"SM26"
"SM28";-0,238921231868127;0,779842538503878;-2,23080890268461;1,10164824114536;"SM28"
"SM4";-0,149155291727261;0,728769848571062;-1,86110226767359;1,25636408380806;"SM4"
"SM8";0,225398880292493;0,692686093776428;-0,997919757976045;1,89334288593783;"SM8"
